url,title,rating,reviewsCount,cuisine,location/lat,location/lng
https://www.google.com/maps/place/HUG+MUG+LOUNGE/data=!4m7!3m6!1s0x14583d47e77b308b:0xdf2bce95581fe527!8m2!3d30.0606401!4d31.4454172!16s%2Fg%2F11s8m_kwb7!19sChIJizB750c9WBQRJ-UfWJXOK98?authuser=0&hl=en&rclk=1,HUG MUG LOUNGE,4.8,80,Restaurant,30.0606401,31.4454172
https://www.google.com/maps/place/Princess+Caf%C3%A9+%26+Restaurant/data=!4m7!3m6!1s0x145822c33110ea81:0x7e5b7bc6b64f8dfe!8m2!3d30.0250755!4d31.4648179!16s%2Fg%2F11hckhcd9k!19sChIJgeoQMcMiWBQR_o1PtsZ7W34?authuser=0&hl=en&rclk=1,Princess Café & Restaurant,4.2,"5,051",Cafe,30.0250755,31.4648179
https://www.google.com/maps/place/Acacia+Restaurant+%26+Caf%C3%A8/data=!4m7!3m6!1s0x145818c2f8feef51:0x56a207b714d6a353!8m2!3d30.0709319!4d31.5165164!16s%2Fg%2F11hchyk7fj!19sChIJUe_--MIYWBQRU6PWFLcHolY?authuser=0&hl=en&rclk=1,Acacia Restaurant & Cafè,4.3,130,Restaurant,30.0709319,31.5165164
https://www.google.com/maps/place/Hookah+Tagamo3+%28New+Cairo%29/data=!4m7!3m6!1s0x145823c378981f93:0x106098e8c9497068!8m2!3d30.0250459!4d31.4654241!16s%2Fg%2F11mtjxkjk3!19sChIJkx-YeMMjWBQRaHBJyeiYYBA?authuser=0&hl=en&rclk=1,Hookah Tagamo3 (New Cairo),4.2,853,Cafe,30.0250459,31.4654241
https://www.google.com/maps/place/The+Drive+By+The+Waterway/data=!4m7!3m6!1s0x14583d8a9296c04f:0x914ae49ebf9f67!8m2!3d30.0091325!4d31.4010239!16s%2Fg%2F11lr78kn55!19sChIJT8CWkoo9WBQRZ5-_nuRKkQA?authuser=0&hl=en&rclk=1,The Drive By The Waterway,4.6,"4,826",Food court,30.0091325,31.4010239
https://www.google.com/maps/place/Lorenza+cafe+%26+Restaurant/data=!4m7!3m6!1s0x145823db26552049:0x86f518f5c0313e33!8m2!3d30.0286404!4d31.4773294!16s%2Fg%2F11jzs1_yd9!19sChIJSSBVJtsjWBQRMz4xwPUY9YY?authuser=0&hl=en&rclk=1,Lorenza cafe & Restaurant,4.6,45,Coffee shop,30.0286404,31.4773294
https://www.google.com/maps/place/Esplanade+Cafe+Restaurant/data=!4m7!3m6!1s0x14583f84f1544db3:0xc73adf3a1e746bac!8m2!3d30.0738409!4d31.3477431!16s%2Fg%2F11sfbhmb7r!19sChIJs01U8YQ_WBQRrGt0HjrfOsc?authuser=0&hl=en&rclk=1,Esplanade Cafe Restaurant,4.9,248,Restaurant,30.0738409,31.3477431
https://www.google.com/maps/place/Brunch+%26+Cake+Lake+View/data=!4m7!3m6!1s0x145823527cb1fc73:0x94dee58cd722bdb1!8m2!3d30.0243389!4d31.4537953!16s%2Fg%2F11sbslxcnz!19sChIJc_yxfFIjWBQRsb0i14zl3pQ?authuser=0&hl=en&rclk=1,Brunch & Cake Lake View,4.8,"3,370",Restaurant,30.0243389,31.4537953
https://www.google.com/maps/place/Cafe+Corniche/data=!4m7!3m6!1s0x145840cf1121bb51:0xbedf4dbc4543ce91!8m2!3d30.0426478!4d31.2318588!16s%2Fg%2F1v1m95dq!19sChIJUbshEc9AWBQRkc5DRbxN374?authuser=0&hl=en&rclk=1,Cafe Corniche,4.3,283,Cafe,30.0426478,31.2318588
https://www.google.com/maps/place/Mokai+New+Cairo/data=!4m7!3m6!1s0x145822f18d0edb95:0x1fe373ae03ebc07a!8m2!3d30.0250506!4d31.4812298!16s%2Fg%2F11cntt2hh1!19sChIJldsOjfEiWBQResDrA65z4x8?authuser=0&hl=en&rclk=1,Mokai New Cairo,4.2,850,Restaurant,30.0250506,31.4812298
https://www.google.com/maps/place/Beano%27s+Cafe/data=!4m7!3m6!1s0x145822f4501bee63:0x5ce531dd3f51bf98!8m2!3d30.0260095!4d31.4878198!16s%2Fg%2F11clzh8c9x!19sChIJY-4bUPQiWBQRmL9RP90x5Vw?authuser=0&hl=en&rclk=1,Beano's Cafe,4.4,"1,686",Coffee shop,30.0260095,31.4878198
https://www.google.com/maps/place/The+Lake+District+Mivida/data=!4m7!3m6!1s0x14582300014abd6f:0xcc7e6c477be9a985!8m2!3d30.007398!4d31.5351171!16s%2Fg%2F11vrgggptm!19sChIJb71KAQAjWBQRhanpe0dsfsw?authuser=0&hl=en&rclk=1,The Lake District Mivida,4.5,82,American,30.007398,31.5351171
https://www.google.com/maps/place/sQuare+Restaurant+%26+Cafe+%D9%85%D8%B7%D8%B9%D9%85+%D9%88%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%B3%D9%83%D9%88%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14583ce772a52401:0x6e498dd4fab948b6!8m2!3d30.0186734!4d31.4215039!16s%2Fg%2F1pp2vkr85!19sChIJASSlcuc8WBQRtki5-tSNSW4?authuser=0&hl=en&rclk=1,sQuare Restaurant & Cafe مطعم وكافيه سكوير,4.1,403,Coffee shop,30.0186734,31.4215039
https://www.google.com/maps/place/Lo2ma+at+C+Omar+cafe/data=!4m7!3m6!1s0x14581985bed5a379:0xe504f78f97276217!8m2!3d30.063024!4d31.4679243!16s%2Fg%2F11rv1jq2z3!19sChIJeaPVvoUZWBQRF2Inl4_3BOU?authuser=0&hl=en&rclk=1,Lo2ma at C Omar cafe,4.3,32,Egyptian,30.063024,31.4679243
https://www.google.com/maps/place/Qahwa/data=!4m7!3m6!1s0x14582290a198bb51:0x5e73ee8cfd99e594!8m2!3d30.0425592!4d31.4754588!16s%2Fg%2F11cn9v6p4x!19sChIJUbuYoZAiWBQRlOWZ_Yzuc14?authuser=0&hl=en&rclk=1,Qahwa,4.2,"2,252",Restaurant,30.0425592,31.4754588
"https://www.google.com/maps/place/Cake+Cafe,+Swan+Lake/data=!4m7!3m6!1s0x14583d27107f86f7:0xbd97f2ac0f714182!8m2!3d30.0607788!4d31.4371943!16s%2Fg%2F11jn4dhpj3!19sChIJ94Z_ECc9WBQRgkFxD6zyl70?authuser=0&hl=en&rclk=1","Cake Cafe, Swan Lake",4.4,704,Restaurant,30.0607788,31.4371943
https://www.google.com/maps/place/Farida+Restaurant+and+Garden/data=!4m7!3m6!1s0x14583d089587d639:0x3fb71fb7a2cbd9cd!8m2!3d30.0102646!4d31.407084!16s%2Fg%2F11tc3qpbmy!19sChIJOdaHlQg9WBQRzdnLorcftz8?authuser=0&hl=en&rclk=1,Farida Restaurant and Garden,4.7,238,Lebanese,30.0102646,31.407084
https://www.google.com/maps/place/Les+Amis+Cafe/data=!4m7!3m6!1s0x1458190cdfb43235:0xd91b2d02d1959e57!8m2!3d30.0531064!4d31.4889398!16s%2Fg%2F11h7c9g8tf!19sChIJNTK03wwZWBQRV56V0QItG9k?authuser=0&hl=en&rclk=1,Les Amis Cafe,4.0,167,Cafe,30.0531064,31.4889398
https://www.google.com/maps/place/Em+Sherif+Cafe+Egypt/data=!4m7!3m6!1s0x145823abf2f73f4d:0x249dd0cf0c6a4a4f!8m2!3d30.0292521!4d31.4817388!16s%2Fg%2F11j8k4gh_b!19sChIJTT_38qsjWBQRT0pqDM_QnSQ?authuser=0&hl=en&rclk=1,Em Sherif Cafe Egypt,4.4,"1,790",Lebanese,30.0292521,31.4817388
https://www.google.com/maps/place/Paul+Downtown/data=!4m7!3m6!1s0x14583cef939a7d6f:0xd870e521ff9dc7d7!8m2!3d30.0167644!4d31.4128463!16s%2Fg%2F119t92fdx!19sChIJb32ak-88WBQR18ed_yHlcNg?authuser=0&hl=en&rclk=1,Paul Downtown,4.3,"5,169",French,30.0167644,31.4128463
https://www.google.com/maps/place/Le+Petit+Chef+-+Cairo/data=!4m7!3m6!1s0x14584793880a56a3:0xc8de45cd7bc38326!8m2!3d30.0240116!4d31.2182716!16s%2Fg%2F11pkb9_djq!19sChIJo1YKiJNHWBQRJoPDe81F3sg?authuser=0&hl=en&rclk=1,Le Petit Chef - Cairo,4.3,95,Restaurant,30.0240116,31.2182716
https://www.google.com/maps/place/Tabali+-+Town+Center+Tagamoa/data=!4m7!3m6!1s0x14583ce740f5bc2b:0xc993f7656e0bf3cc!8m2!3d30.0194479!4d31.4216253!16s%2Fg%2F11bzsghzfz!19sChIJK7z1QOc8WBQRzPMLbmX3k8k?authuser=0&hl=en&rclk=1,Tabali - Town Center Tagamoa,4.3,"2,832",Breakfast,30.0194479,31.4216253
https://www.google.com/maps/place/Stereo+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x14583d7befd54de7:0x24da2c72b0aaa41e!8m2!3d30.0150633!4d31.4391653!16s%2Fg%2F11gr78fbs9!19sChIJ503V73s9WBQRHqSqsHIs2iQ?authuser=0&hl=en&rclk=1,Stereo Restaurant & Cafe,4.5,"5,304",Restaurant,30.0150633,31.4391653
https://www.google.com/maps/place/Ni+caf%C3%A9+-+5A+by+The+Waterway/data=!4m7!3m6!1s0x14583d1370e5e701:0xc0b7ce6926724f97!8m2!3d30.0086985!4d31.403756!16s%2Fg%2F11rkp4b2kk!19sChIJAeflcBM9WBQRl09yJmnOt8A?authuser=0&hl=en&rclk=1,Ni café - 5A by The Waterway,4.3,352,Italian,30.0086985,31.403756
https://www.google.com/maps/place/TUT+lounge/data=!4m7!3m6!1s0x1458197021c9d053:0xb79f354301ba7ab1!8m2!3d30.0708125!4d31.5165625!16s%2Fg%2F11j2y11_5f!19sChIJU9DJIXAZWBQRsXq6AUM1n7c?authuser=0&hl=en&rclk=1,TUT lounge,4.6,41,Restaurant,30.0708125,31.5165625
https://www.google.com/maps/place/Moods+New+Cairo/data=!4m7!3m6!1s0x14582260d776704d:0x71bb1efb8c507f46!8m2!3d30.02932!4d31.4964265!16s%2Fg%2F11g7_hg421!19sChIJTXB212AiWBQRRn9QjPseu3E?authuser=0&hl=en&rclk=1,Moods New Cairo,4.0,318,Cafe,30.02932,31.4964265
https://www.google.com/maps/place/Argolla+cafe+-+%D8%A7%D8%B1%D8%AC%D9%88%D9%84%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14583cc535c8ad0b:0x3df4ada4cc022538!8m2!3d29.9992945!4d31.419816!16s%2Fg%2F11c6043b_q!19sChIJC63INcU8WBQROCUCzKSt9D0?authuser=0&hl=en&rclk=1,Argolla cafe - ارجولا كافية,4.1,367,Cafe,29.9992945,31.419816
https://www.google.com/maps/place/OBLIVIOUS/data=!4m7!3m6!1s0x145823f6ac579f33:0xee0ab7e03e0405e4!8m2!3d30.0293228!4d31.4815015!16s%2Fg%2F11g_z6472j!19sChIJM59XrPYjWBQR5AUEPuC3Cu4?authuser=0&hl=en&rclk=1,OBLIVIOUS,4.5,"1,049",Restaurant,30.0293228,31.4815015
https://www.google.com/maps/place/Boulevard+O1/data=!4m7!3m6!1s0x145823020b13dd61:0xbbb6b15b443d9eed!8m2!3d30.0481922!4d31.475591!16s%2Fg%2F11kqzfcksx!19sChIJYd0TCwIjWBQR7Z49RFuxtrs?authuser=0&hl=en&rclk=1,Boulevard O1,4.9,"1,139",Restaurant,30.0481922,31.475591
"https://www.google.com/maps/place/The+Coffeeshop+Company,+Zamalek/data=!4m7!3m6!1s0x145840fd02e4542f:0xf6e4f1697393b21c!8m2!3d29.9997832!4d31.4266089!16s%2Fg%2F11b5phtxh3!19sChIJL1TkAv1AWBQRHLKTc2nx5PY?authuser=0&hl=en&rclk=1","The Coffeeshop Company, Zamalek",4.0,460,Restaurant,29.9997832,31.4266089
https://www.google.com/maps/place/The+Way+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14583df13bc18331:0xa450ec60ced0fdac!8m2!3d30.0106173!4d31.437947!16s%2Fg%2F11gkwxb545!19sChIJMYPBO_E9WBQRrP3QzmDsUKQ?authuser=0&hl=en&rclk=1,The Way Cafe & Restaurant,4.2,709,Izakaya,30.0106173,31.437947
https://www.google.com/maps/place/Maison+Thomas+-+Arabella+Plaza/data=!4m7!3m6!1s0x14583d1c54c43e2b:0xa516bb5e86b314fb!8m2!3d29.9917167!4d31.4325309!16s%2Fg%2F11j2ymrprf!19sChIJKz7EVBw9WBQR-xSzhl67FqU?authuser=0&hl=en&rclk=1,Maison Thomas - Arabella Plaza,4.0,211,Restaurant,29.9917167,31.4325309
https://www.google.com/maps/place/Bistro+New+Cairo+%D8%A8%D9%8A%D8%B3%D8%AA%D8%B1%D9%88+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9+%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x14583d6886948173:0xb6275894b51bdcab!8m2!3d30.0183331!4d31.4248893!16s%2Fg%2F11llm3pnvq!19sChIJc4GUhmg9WBQRq9wbtZRYJ7Y?authuser=0&hl=en&rclk=1,Bistro New Cairo بيسترو التجمع الخامس,4.5,617,Fast Food,30.0183331,31.4248893
https://www.google.com/maps/place/Duchess/data=!4m7!3m6!1s0x145823b2ae49e0a7:0x4e4616743b19b401!8m2!3d30.0283217!4d31.4937452!16s%2Fg%2F11t808n_cs!19sChIJp-BJrrIjWBQRAbQZO3QWRk4?authuser=0&hl=en&rclk=1,Duchess,4.8,399,Breakfast,30.0283217,31.4937452
https://www.google.com/maps/place/Garden+Promenade+Caf%C3%A9/data=!4m7!3m6!1s0x145840e77ead5325:0x70518f68465424df!8m2!3d30.057089!4d31.224414!16s%2Fg%2F1vs312tf!19sChIJJVOtfudAWBQR3yRURmiPUXA?authuser=0&hl=en&rclk=1,Garden Promenade Café,4.3,735,Restaurant,30.057089,31.224414
https://www.google.com/maps/place/Sedra+-+90+St.+Branch/data=!4m7!3m6!1s0x145822c2e72efb99:0x8ac10323677ab151!8m2!3d30.0259869!4d31.4659579!16s%2Fg%2F11c0phqpss!19sChIJmfsu58IiWBQRUbF6ZyMDwYo?authuser=0&hl=en&rclk=1,Sedra - 90 St. Branch,4.5,"5,980",Restaurant,30.0259869,31.4659579
https://www.google.com/maps/place/Sovrano+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x14581803475e6b2d:0x73fd1b13b2f06aee!8m2!3d30.0694361!4d31.4499654!16s%2Fg%2F11c0t9fd3g!19sChIJLWteRwMYWBQR7mrwshMb_XM?authuser=0&hl=en&rclk=1,Sovrano Restaurant & Cafe,4.1,989,Restaurant,30.0694361,31.4499654
https://www.google.com/maps/place/Roche+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x145819e3c19d873d:0xdf202d83a47eaecf!8m2!3d30.0704075!4d31.5175019!16s%2Fg%2F11hz6d006_!19sChIJPYedweMZWBQRz65-pIMtIN8?authuser=0&hl=en&rclk=1,Roche Cafe & Restaurant,4.5,31,Cafe,30.0704075,31.5175019
https://www.google.com/maps/place/Cafe/data=!4m7!3m6!1s0x1458237f20267d05:0xe212b84f742e558e!8m2!3d30.0087995!4d31.4571595!16s%2Fg%2F11n0jmc_c_!19sChIJBX0mIH8jWBQRjlUudE-4EuI?authuser=0&hl=en&rclk=1,Cafe,3.9,21,Coffee shop,30.0087995,31.4571595
https://www.google.com/maps/place/Dunes+Bar+%26+Restaurant/data=!4m7!3m6!1s0x14582233bc110001:0xdd56315d1282bd31!8m2!3d30.0030306!4d31.5213816!16s%2Fg%2F11fzbkyp7n!19sChIJAQARvDMiWBQRMb2CEl0xVt0?authuser=0&hl=en&rclk=1,Dunes Bar & Restaurant,4.3,940,Restaurant,30.0030306,31.5213816
https://www.google.com/maps/place/Beit+Aziz+restaurant/data=!4m7!3m6!1s0x145823d35a42010f:0xabd864fe67813fe2!8m2!3d30.0267263!4d31.4975281!16s%2Fg%2F11lk1142np!19sChIJDwFCWtMjWBQR4j-BZ_5k2Ks?authuser=0&hl=en&rclk=1,Beit Aziz restaurant,4.7,800,Family-friendly,30.0267263,31.4975281
https://www.google.com/maps/place/Kazoku/data=!4m7!3m6!1s0x14583d56794c16db:0xf741edf9e8b2b703!8m2!3d30.0612042!4d31.4370282!16s%2Fg%2F11cmrp63q5!19sChIJ2xZMeVY9WBQRA7ey6PntQfc?authuser=0&hl=en&rclk=1,Kazoku,4.6,"2,416",Japanese,30.0612042,31.4370282
https://www.google.com/maps/place/Mo+Bistro/data=!4m7!3m6!1s0x145823c052b0daa3:0xee6148a769a9a448!8m2!3d30.0464208!4d31.4835449!16s%2Fg%2F11n09fjq1x!19sChIJo9qwUsAjWBQRSKSpaadIYe4?authuser=0&hl=en&rclk=1,Mo Bistro,4.5,811,Restaurant,30.0464208,31.4835449
https://www.google.com/maps/place/Cafe/data=!4m7!3m6!1s0x14583d67935682e1:0x68457d0fe449860!8m2!3d30.0031776!4d31.4367939!16s%2Fg%2F11qhcq6g88!19sChIJ4YJWk2c9WBQRYJhE_tBXhAY?authuser=0&hl=en&rclk=1,Cafe,5.0,2,Cafe,30.0031776,31.4367939
https://www.google.com/maps/place/Bab+Tooma+%28concord+plaza%29/data=!4m7!3m6!1s0x145822f184478e37:0xc8d25e10d31d854d!8m2!3d30.0250467!4d31.4823391!16s%2Fg%2F1pxw2yfc1!19sChIJN45HhPEiWBQRTYUd0xBe0sg?authuser=0&hl=en&rclk=1,Bab Tooma (concord plaza),4.1,"2,130",Syrian,30.0250467,31.4823391
https://www.google.com/maps/place/Pattini/data=!4m7!3m6!1s0x145823cfbd7249d9:0x2154fa41388a5863!8m2!3d30.008628!4d31.5353121!16s%2Fg%2F11rtwwdp3_!19sChIJ2Ulyvc8jWBQRY1iKOEH6VCE?authuser=0&hl=en&rclk=1,Pattini,4.4,478,Italian,30.008628,31.5353121
https://www.google.com/maps/place/Ziya/data=!4m7!3m6!1s0x1458232d241c8141:0x1766bb3c9bfa1559!8m2!3d30.0461354!4d31.4753387!16s%2Fg%2F11pkz7vjgt!19sChIJQYEcJC0jWBQRWRX6mzy7Zhc?authuser=0&hl=en&rclk=1,Ziya,3.8,119,Restaurant,30.0461354,31.4753387
https://www.google.com/maps/place/Midar/data=!4m7!3m6!1s0x1458235ffac4858f:0x1fb5eadb60675a27!8m2!3d30.0206247!4d31.4946089!16s%2Fg%2F11txt80w1y!19sChIJj4XE-l8jWBQRJ1pnYNvqtR8?authuser=0&hl=en&rclk=1,Midar,4.9,421,Restaurant,30.0206247,31.4946089
https://www.google.com/maps/place/Binge+Cairo/data=!4m7!3m6!1s0x145823bf5ffac869:0xb097754a6d8a196e!8m2!3d30.0462386!4d31.4834413!16s%2Fg%2F11n5nfxs4c!19sChIJacj6X78jWBQRbhmKbUp1l7A?authuser=0&hl=en&rclk=1,Binge Cairo,4.6,380,Restaurant,30.0462386,31.4834413
"https://www.google.com/maps/place/Zia+Amelia+Restaurant+-+U+Venues+Mall,+New+Cairo/data=!4m7!3m6!1s0x14583d23773260f7:0xbbdbad254b929e42!8m2!3d30.0071107!4d31.4032118!16s%2Fg%2F11vwx0q6vq!19sChIJ92AydyM9WBQRQp6SSyWt27s?authuser=0&hl=en&rclk=1","Zia Amelia Restaurant - U Venues Mall, New Cairo",4.7,80,Italian,30.0071107,31.4032118
https://www.google.com/maps/place/Wimpy+Golden+Square+New+Cairo+-+%D9%88%D9%85%D8%A8%D9%8A+%D8%AC%D9%88%D9%84%D8%AF%D9%86+%D8%B3%D9%83%D9%88%D9%8A%D8%B1+%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9+%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x145823e76f989adb:0x65d4df49a4cedc07!8m2!3d30.0149327!4d31.5260632!16s%2Fg%2F11rkpb82td!19sChIJ25qYb-cjWBQRB9zOpEnf1GU?authuser=0&hl=en&rclk=1,Wimpy Golden Square New Cairo - ومبي جولدن سكوير القاهرة الجديدة,4.1,449,American,30.0149327,31.5260632
https://www.google.com/maps/place/Berro%E2%80%99s/data=!4m7!3m6!1s0x145823dd975e6d3f:0xfe5db0c408f0a533!8m2!3d30.0283661!4d31.4791436!16s%2Fg%2F11s2ysrdz4!19sChIJP21el90jWBQRM6XwCMSwXf4?authuser=0&hl=en&rclk=1,Berro’s,4.7,205,Restaurant,30.0283661,31.4791436
https://www.google.com/maps/place/Tequila+Grandshow/data=!4m7!3m6!1s0x145823366a3bc1f3:0x91dfd24f42868e4c!8m2!3d30.0461736!4d31.4755889!16s%2Fg%2F11np2x17ry!19sChIJ88E7ajYjWBQRTI6GQk_S35E?authuser=0&hl=en&rclk=1,Tequila Grandshow,3.8,269,Restaurant,30.0461736,31.4755889
https://www.google.com/maps/place/ORRO+CAFE/data=!4m7!3m6!1s0x1458234dcdd0f407:0x25187d9c45c7ca39!8m2!3d30.02509!4d31.4649769!16s%2Fg%2F11n8x7kd9v!19sChIJB_TQzU0jWBQROcrHRZx9GCU?authuser=0&hl=en&rclk=1,ORRO CAFE,4.4,255,Restaurant,30.02509,31.4649769
https://www.google.com/maps/place/Umami/data=!4m7!3m6!1s0x1458236a0196fbe5:0x7c72dfa2675015f0!8m2!3d30.0468064!4d31.4846743!16s%2Fg%2F11pdy186bs!19sChIJ5fuWAWojWBQR8BVQZ6Lfcnw?authuser=0&hl=en&rclk=1,Umami,4.4,324,Restaurant,30.0468064,31.4846743
https://www.google.com/maps/place/HydeOut/data=!4m7!3m6!1s0x145821272fd6c505:0x4e756b0e1b06edfa!8m2!3d29.9763664!4d31.5435705!16s%2Fg%2F11j4kpt88x!19sChIJBcXWLychWBQR-u0GGw5rdU4?authuser=0&hl=en&rclk=1,HydeOut,4.4,"1,546",Food court,29.9763664,31.5435705
https://www.google.com/maps/place/Il+Loft/data=!4m7!3m6!1s0x14582290c0e426db:0x8dfa42001467dca3!8m2!3d30.0410312!4d31.4754903!16s%2Fg%2F11c75lmcnd!19sChIJ2ybkwJAiWBQRo9xnFABC-o0?authuser=0&hl=en&rclk=1,Il Loft,4.3,"1,118",Italian,30.0410312,31.4754903
https://www.google.com/maps/place/Arabiata+Concord+plaza+New+Cairo/data=!4m7!3m6!1s0x145822f3df16cd23:0x592451657f4aee32!8m2!3d30.0250199!4d31.4832175!16s%2Fg%2F11bw44jd5b!19sChIJI80W3_MiWBQRMu5Kf2VRJFk?authuser=0&hl=en&rclk=1,Arabiata Concord plaza New Cairo,3.9,"1,865",Falafel,30.0250199,31.4832175
https://www.google.com/maps/place/Patio+Food+Court/data=!4m7!3m6!1s0x14583cdfb454991f:0x9f2b426e543520d8!8m2!3d30.0227306!4d31.424354!16s%2Fg%2F1q62m70d5!19sChIJH5lUtN88WBQR2CA1VG5CK58?authuser=0&hl=en&rclk=1,Patio Food Court,4.3,"4,959",Food court,30.0227306,31.424354
https://www.google.com/maps/place/Pink+Blanket+Mama/data=!4m7!3m6!1s0x145823eaf708a2eb:0x729cd3603aa8f8f2!8m2!3d30.0457889!4d31.4836437!16s%2Fg%2F11tk340j4x!19sChIJ66II9-ojWBQR8vioOmDTnHI?authuser=0&hl=en&rclk=1,Pink Blanket Mama,4.3,233,Restaurant,30.0457889,31.4836437
